Product Name,Quantity (liters/kg),Price per Unit,Total Value,Shelf Life (days),Price per Unit (sold),Year,Month,Day,DayOfWeek,Quarter,Days_to_Sell,Days_to_Expire,Sales_Velocity,Quantity_Sold_Hist_Mean,Sales_Velocity_Hist_Mean,Sales_Volatility_Hist,Capacity_Utilization,Sales_Trend_7d,Seasonal_Volatility,Stock_Efficiency
Yogurt,714.38,3.945,11530.0932,26,15.78,2021,6,26,5,2,19,7,22.894736842105264,178.0,9.954545454545455,44.4674005868485,2.2999279019466474,159.71428571428572,57.62585415815926,3.2706766917293235
Butter,297.09,20.3825,24328.7001,32,81.53,2020,6,27,5,2,32,0,2.59375,217.0,8.947368421052632,54.71471100437881,0.2898897058823529,271.85714285714283,16.70396021691645,2.59375
Ice Cream,322.8,5.1475,8218.488000000001,24,20.59,2021,2,19,4,1,24,0,0.6666666666666666,177.0,9.125,72.25225364557888,0.0730593607305936,199.71428571428572,39.885494812129714,0.6666666666666666
Ghee,387.02,15.38,23964.2784,92,61.52,2020,4,20,0,2,48,44,0.3541666666666667,188.0,6.563383492932056,43.34753878230251,0.05396098933546392,163.57142857142858,70.70925070088025,0.008049242424242424
Paneer,289.39,9.4625,9871.0929,12,37.85,2021,2,22,0,1,12,0,6.416666666666667,182.0,18.88888888888889,39.60277158687125,0.33970588235294114,232.71428571428572,25.97957563681851,6.416666666666667
Curd,364.28,4.1025,6491.469599999999,5,16.41,2022,8,12,4,3,5,0,33.2,196.0,34.57142857142857,69.91022195694126,0.9603305785123968,132.0,124.4520493391122,33.2
Buttermilk,459.94,10.01,19450.8626,12,40.04,2020,7,22,2,3,12,0,22.5,152.0,18.0,48.52413783860662,1.25,300.7142857142857,25.28480488772103,22.5
Milk,300.78,9.92,11507.8428,2,39.68,2019,3,31,6,1,2,0,61.0,202.0,29.043478260869566,164.33150316519354,2.1002994011976046,330.14285714285717,195.24384587609882,61.0
Curd,349.63,7.1225,10317.5813,7,28.49,2020,2,27,3,1,7,0,28.285714285714285,196.0,34.57142857142857,69.91022195694126,0.8181818181818182,251.0,34.44428802335061,28.285714285714285
Cheese,868.05,23.1275,76596.73199999999,87,92.51,2019,7,26,4,3,12,75,33.333333333333336,194.0,7.842105263157895,56.94558885722439,4.250559284116331,191.57142857142858,80.60997817948127,0.4444444444444445
Milk,816.47,18.0125,57879.5583,24,72.05,2020,8,2,6,3,24,0,11.458333333333334,202.0,29.043478260869566,164.33150316519354,0.39452345309381237,276.2857142857143,135.05702816027141,11.458333333333334
Buttermilk,79.15,8.4325,2876.3110000000006,7,33.73,2019,12,13,4,4,7,0,4.142857142857143,152.0,18.0,48.52413783860662,0.23015873015873015,263.7142857142857,116.58366916634911,4.142857142857143
Ice Cream,697.59,11.3125,29528.9847,30,45.25,2020,6,27,5,2,8,22,8.125,177.0,9.125,72.25225364557888,0.8904109589041096,244.28571428571428,26.052907676433684,0.3693181818181818
Curd,834.97,2.295,10295.1801,5,9.18,2021,6,3,3,2,5,0,109.4,196.0,34.57142857142857,69.91022195694126,3.1644628099173557,180.71428571428572,98.47287847669386,109.4
Milk,485.25,9.715,21229.6875,1,38.86,2020,10,19,0,4,1,0,44.0,202.0,29.043478260869566,164.33150316519354,1.5149700598802394,95.85714285714286,82.78913031246772,44.0
Curd,585.95,21.1625,48645.569,6,84.65,2022,11,6,6,4,6,0,64.66666666666667,196.0,34.57142857142857,69.91022195694126,1.8705234159779616,393.42857142857144,54.82630570341712,64.66666666666667
Milk,967.46,10.335,38069.551,29,41.34,2019,3,8,4,1,19,10,30.210526315789473,202.0,29.043478260869566,164.33150316519354,1.0401827923101166,358.7142857142857,195.24384587609882,3.0210526315789474
Milk,834.13,6.805,21253.6324,1,27.22,2020,3,26,3,1,1,0,406.0,202.0,29.043478260869566,164.33150316519354,13.979041916167665,297.7142857142857,195.24384587609882,406.0
Buttermilk,376.54,16.105,22780.67,14,64.42,2020,7,6,0,3,14,0,20.5,152.0,18.0,48.52413783860662,1.1388888888888888,181.14285714285714,25.28480488772103,20.5
Curd,858.4,14.98,48997.472,7,59.92,2019,6,27,3,2,7,0,119.28571428571429,196.0,34.57142857142857,69.91022195694126,3.450413223140496,309.42857142857144,98.47287847669386,119.28571428571429
Ice Cream,958.42,17.0275,64971.291800000006,28,68.11,2022,5,18,2,2,23,5,15.782608695652174,177.0,9.125,72.25225364557888,1.7296009529481835,252.14285714285714,94.931255021169,3.1565217391304348
Buttermilk,793.89,15.43,46903.0212,8,61.72,2020,9,23,2,3,5,3,45.2,152.0,18.0,48.52413783860662,2.511111111111111,139.28571428571428,15.45455374986849,15.066666666666668
Ice Cream,74.7,20.1475,6354.728999999999,23,80.59,2022,8,26,4,3,22,1,3.090909090909091,177.0,9.125,72.25225364557888,0.33872976338729766,174.28571428571428,165.4885276378345,3.090909090909091
Yogurt,820.95,23.875,77604.4035,26,95.5,2021,9,27,0,3,4,22,204.75,178.0,9.954545454545455,44.4674005868485,20.56849315068493,252.57142857142858,62.732106962083954,9.306818181818182
Milk,398.72,10.42,16945.600000000002,24,41.68,2020,6,17,2,2,24,0,12.5,202.0,29.043478260869566,164.33150316519354,0.4303892215568862,365.57142857142856,209.1669373214938,12.5
Buttermilk,95.95,15.46,6200.289000000001,11,61.84,2021,10,17,6,4,11,0,5.909090909090909,152.0,18.0,48.52413783860662,0.3282828282828283,346.42857142857144,28.267949442713956,5.909090909090909
Buttermilk,302.02,22.255,26614.0024,13,89.02,2020,9,18,4,3,13,0,12.923076923076923,152.0,18.0,48.52413783860662,0.717948717948718,203.14285714285714,15.45455374986849,12.923076923076923
Milk,873.12,6.69,26219.7936,26,26.76,2022,1,15,5,1,16,10,5.5625,202.0,29.043478260869566,164.33150316519354,0.19152320359281436,263.85714285714283,177.43517510271528,0.55625
Lassi,401.44,7.5525,11569.5008,15,30.21,2019,4,29,0,2,15,0,6.266666666666667,192.0,15.75,49.63685879040302,0.3978835978835979,159.0,31.953760258846977,6.266666666666667
Milk,759.06,23.515,68710.11119999998,30,94.06,2021,8,5,3,3,21,9,23.0,202.0,29.043478260869566,164.33150316519354,0.7919161676646707,256.0,135.05702816027141,2.5555555555555554
Ice Cream,584.89,24.41,58331.0797,22,97.64,2019,11,11,0,4,22,0,20.772727272727273,177.0,9.125,72.25225364557888,2.276463262764633,345.14285714285717,35.394577275590606,20.772727272727273
Cheese,385.07,18.84,28988.0696,55,75.36,2021,4,15,3,2,24,31,14.833333333333334,194.0,7.842105263157895,56.94558885722439,1.8914988814317673,136.14285714285714,66.31403577677173,0.478494623655914
Yogurt,276.73,4.435,5689.5688,24,17.74,2019,6,15,5,2,24,0,3.375,178.0,9.954545454545455,44.4674005868485,0.3390410958904109,417.57142857142856,57.62585415815926,3.375
Butter,168.98,2.3025,2227.1564,28,9.21,2019,6,28,4,2,28,0,2.3214285714285716,217.0,8.947368421052632,54.71471100437881,0.259453781512605,284.14285714285717,16.70396021691645,2.3214285714285716
Lassi,35.79,5.9375,894.75,15,23.75,2020,7,17,4,3,15,0,0.4666666666666667,192.0,15.75,49.63685879040302,0.02962962962962963,145.57142857142858,23.072499488621748,0.4666666666666667
Ghee,322.23,10.555,12318.8529,79,42.22,2019,6,12,2,2,15,64,5.733333333333333,188.0,6.563383492932056,43.34753878230251,0.8735331920658632,166.71428571428572,11.383149855574802,0.08958333333333333
Cheese,373.35,3.3375,5256.768,44,13.35,2019,7,14,6,3,32,12,7.15625,194.0,7.842105263157895,56.94558885722439,0.9125419463087249,210.57142857142858,80.60997817948127,0.5963541666666666
Paneer,939.68,11.065,39786.0512,11,44.26,2022,10,5,2,4,3,8,259.0,182.0,18.88888888888889,39.60277158687125,13.711764705882352,254.28571428571428,48.974162968296724,32.375
Yogurt,802.14,20.3075,63746.0658,28,81.23,2020,9,28,0,3,10,18,55.8,178.0,9.954545454545455,44.4674005868485,5.605479452054794,296.0,62.732106962083954,3.0999999999999996
Yogurt,272.66,21.6025,22622.6002,24,86.41,2019,3,12,1,1,24,0,4.041666666666667,178.0,9.954545454545455,44.4674005868485,0.40601217656012173,305.7142857142857,69.58566092479155,4.041666666666667
Buttermilk,831.73,24.67,78099.447,11,98.68,2021,12,5,6,4,11,0,54.90909090909091,152.0,18.0,48.52413783860662,3.0505050505050506,293.42857142857144,116.58366916634911,54.90909090909091
Yogurt,176.27,11.9075,8083.742200000001,29,47.63,2021,6,14,0,2,29,0,6.0344827586206895,178.0,9.954545454545455,44.4674005868485,0.6062037474413479,259.0,57.62585415815926,6.0344827586206895
Lassi,742.42,6.8,22079.5708,17,27.2,2021,4,11,6,2,14,3,22.071428571428573,192.0,15.75,49.63685879040302,1.401360544217687,274.7142857142857,31.953760258846977,7.357142857142858
Ghee,463.97,15.9475,27485.582800000004,92,63.79,2020,11,12,3,4,59,33,0.01694915254237288,188.0,6.563383492932056,43.34753878230251,0.002582380347061085,139.71428571428572,22.91103110926069,0.0005136106831022085
Lassi,684.24,20.75,57599.323200000006,18,83.0,2022,5,12,3,2,18,0,13.833333333333334,192.0,15.75,49.63685879040302,0.8783068783068783,296.2857142857143,15.13846513507707,13.833333333333334
Milk,592.66,23.0375,54080.225,1,92.15,2020,6,28,6,2,1,0,552.0,202.0,29.043478260869566,164.33150316519354,19.005988023952096,354.14285714285717,209.1669373214938,552.0
Milk,107.91,9.1475,4467.474,27,36.59,2019,5,28,1,2,27,0,0.5925925925925926,202.0,29.043478260869566,164.33150316519354,0.020403637170104235,254.85714285714286,130.0079689939997,0.5925925925925926
Curd,777.23,24.6425,72857.5402,6,98.57,2021,4,9,4,2,6,0,63.166666666666664,196.0,34.57142857142857,69.91022195694126,1.8271349862258954,233.28571428571428,85.27441325591596,63.166666666666664
Buttermilk,345.37,22.8775,31300.8831,8,91.51,2022,9,7,2,3,8,0,19.125,152.0,18.0,48.52413783860662,1.0625,217.57142857142858,15.45455374986849,19.125
Lassi,294.0,4.035,4071.9,15,16.14,2021,8,5,3,3,15,0,17.2,192.0,15.75,49.63685879040302,1.092063492063492,280.57142857142856,65.14999805968438,17.2
Curd,471.44,12.6575,22299.112,5,50.63,2021,10,11,0,4,2,3,156.5,196.0,34.57142857142857,69.91022195694126,4.526859504132232,205.57142857142858,42.235685832910754,52.166666666666664
Lassi,804.16,3.16,12174.9824,18,12.64,2020,10,4,6,4,18,0,44.0,192.0,15.75,49.63685879040302,2.7936507936507935,319.42857142857144,28.685058460461505,44.0
Lassi,457.09,9.6,19243.489,13,38.4,2021,9,12,6,3,8,5,8.25,192.0,15.75,49.63685879040302,0.5238095238095238,270.2857142857143,17.847609133710655,1.65
Yogurt,973.36,18.8275,76428.2272,26,75.31,2021,6,27,6,2,15,11,33.46666666666667,178.0,9.954545454545455,44.4674005868485,3.361948249619483,220.0,57.62585415815926,3.0424242424242425
Milk,678.02,11.565,33901.0,1,46.26,2020,7,15,2,3,1,0,518.0,202.0,29.043478260869566,164.33150316519354,17.835329341317365,405.57142857142856,175.07374573385908,518.0
Yogurt,461.49,12.635,24417.4359,29,50.54,2019,8,3,5,3,29,0,8.137931034482758,178.0,9.954545454545455,44.4674005868485,0.817509053692332,226.42857142857142,11.206689153771064,8.137931034482758
Cheese,669.15,9.1775,27468.6075,67,36.71,2020,12,19,5,4,11,56,13.727272727272727,194.0,7.842105263157895,56.94558885722439,1.75045759609518,322.2857142857143,17.59842788346705,0.24512987012987011
Yogurt,229.39,16.6875,14573.1467,24,66.75,2021,5,8,5,2,13,11,14.0,178.0,9.954545454545455,44.4674005868485,1.4063926940639269,317.2857142857143,76.6816846453667,1.2727272727272727
Lassi,460.72,11.5025,23275.5744,16,46.01,2021,9,5,6,3,6,10,36.333333333333336,192.0,15.75,49.63685879040302,2.306878306878307,177.71428571428572,17.847609133710655,3.6333333333333337
Ice Cream,499.13,4.23,9318.7571,28,16.92,2020,4,21,1,2,2,26,120.0,177.0,9.125,72.25225364557888,13.150684931506849,205.0,27.597170162380262,4.615384615384615
Lassi,424.99,7.6575,11797.7224,17,30.63,2020,10,18,6,4,17,0,18.294117647058822,192.0,15.75,49.63685879040302,1.161531279178338,339.14285714285717,28.685058460461505,18.294117647058822
Yogurt,383.46,19.165,29760.3306,21,76.66,2021,1,15,4,1,21,0,12.19047619047619,178.0,9.954545454545455,44.4674005868485,1.2246140465318547,201.14285714285714,22.76546445517359,12.19047619047619
Milk,911.4,4.7875,17517.108,29,19.15,2020,1,24,4,1,29,0,23.344827586206897,202.0,29.043478260869566,164.33150316519354,0.8037889737765848,405.0,177.43517510271528,23.344827586206897
Paneer,321.71,15.4975,18951.9361,11,61.99,2019,1,4,4,1,6,5,42.0,182.0,18.88888888888889,39.60277158687125,2.2235294117647055,345.85714285714283,23.015161055737053,8.4
Lassi,300.02,6.5275,6750.45,13,26.11,2019,5,16,3,2,13,0,16.153846153846153,192.0,15.75,49.63685879040302,1.0256410256410255,180.28571428571428,15.13846513507707,16.153846153846153
Curd,790.38,5.195,17886.2994,7,20.78,2019,6,13,3,2,7,0,21.714285714285715,196.0,34.57142857142857,69.91022195694126,0.628099173553719,283.85714285714283,98.47287847669386,21.714285714285715
Milk,380.71,6.795,8592.6247,2,27.18,2022,1,21,4,1,2,0,153.0,202.0,29.043478260869566,164.33150316519354,5.267964071856287,216.14285714285714,177.43517510271528,153.0
Paneer,978.29,17.7725,71082.5514,12,71.09,2019,10,1,1,4,12,0,66.0,182.0,18.88888888888889,39.60277158687125,3.494117647058823,271.57142857142856,48.974162968296724,66.0
Milk,898.49,22.3425,82616.15550000001,1,89.37,2021,5,18,1,2,1,0,190.0,202.0,29.043478260869566,164.33150316519354,6.54191616766467,234.85714285714286,130.0079689939997,190.0
Lassi,897.05,17.73,62165.565,16,70.92,2019,2,16,5,1,16,0,37.8125,192.0,15.75,49.63685879040302,2.4007936507936507,525.1428571428571,31.309615994956676,37.8125
Paneer,619.82,15.61,39786.2458,14,62.44,2021,3,20,5,1,2,12,55.0,182.0,18.88888888888889,39.60277158687125,2.911764705882353,154.57142857142858,45.330069626579196,4.583333333333333
Milk,325.32,4.3725,4238.919599999999,2,17.49,2021,10,12,1,4,2,0,21.0,202.0,29.043478260869566,164.33150316519354,0.7230538922155688,210.42857142857142,82.78913031246772,21.0
Milk,125.31,8.27,4405.8996,28,33.08,2022,5,4,2,2,28,0,4.107142857142857,202.0,29.043478260869566,164.33150316519354,0.1414136013686912,271.14285714285717,130.0079689939997,4.107142857142857
Ice Cream,726.01,16.5275,46130.6754,24,66.11,2021,7,11,6,3,24,0,15.083333333333334,177.0,9.125,72.25225364557888,1.6529680365296804,377.2857142857143,61.64490496018566,15.083333333333334
Lassi,784.78,11.235,31367.6566,18,44.94,2021,10,7,3,4,18,0,36.111111111111114,192.0,15.75,49.63685879040302,2.292768959435626,247.28571428571428,28.685058460461505,36.111111111111114
Lassi,773.61,16.875,52334.7165,13,67.5,2019,7,17,2,3,13,0,45.92307692307692,192.0,15.75,49.63685879040302,2.9157509157509156,452.85714285714283,23.072499488621748,45.92307692307692
Curd,346.82,7.1825,10088.9938,5,28.73,2019,10,7,0,4,5,0,49.4,196.0,34.57142857142857,69.91022195694126,1.428925619834711,141.14285714285714,42.235685832910754,49.4
Paneer,88.05,21.26,7859.343,13,85.04,2020,3,8,6,1,13,0,0.7692307692307693,182.0,18.88888888888889,39.60277158687125,0.04072398190045248,161.71428571428572,45.330069626579196,0.7692307692307693
Lassi,794.19,15.75,50939.3466,16,63.0,2020,3,22,6,1,4,12,115.25,192.0,15.75,49.63685879040302,7.317460317460317,348.14285714285717,22.304634251858513,9.604166666666666
Curd,775.28,17.125,55603.0816,7,68.5,2022,1,20,3,1,7,0,79.0,196.0,34.57142857142857,69.91022195694126,2.2851239669421486,315.85714285714283,44.43556072012025,79.0
Cheese,375.57,3.8175,6809.084099999999,88,15.27,2019,1,2,2,1,60,28,4.566666666666666,194.0,7.842105263157895,56.94558885722439,0.5823266219239374,289.0,47.63962483433812,0.1630952380952381
Cheese,363.67,10.425,13499.4304,79,41.7,2019,8,9,4,3,27,52,5.074074074074074,194.0,7.842105263157895,56.94558885722439,0.6470295799154859,189.71428571428572,21.326427220515964,0.09757834757834759
Ice Cream,761.01,11.185,30311.0283,25,44.74,2021,2,5,4,1,25,0,4.24,177.0,9.125,72.25225364557888,0.46465753424657535,361.14285714285717,39.885494812129714,4.24
Cheese,169.48,20.1675,13831.2628,28,80.67,2020,4,13,0,2,28,0,0.17857142857142858,194.0,7.842105263157895,56.94558885722439,0.02277085330776606,154.28571428571428,66.31403577677173,0.17857142857142858
Curd,125.9,13.3325,7089.429000000001,6,53.33,2019,6,28,4,2,6,0,2.8333333333333335,196.0,34.57142857142857,69.91022195694126,0.08195592286501378,282.85714285714283,98.47287847669386,2.8333333333333335
Paneer,492.42,4.895,11758.9896,11,19.58,2019,1,1,1,1,11,0,34.18181818181818,182.0,18.88888888888889,39.60277158687125,1.8096256684491978,320.0,23.015161055737053,34.18181818181818
Cheese,517.99,8.985,18259.1475,82,35.94,2021,4,28,2,2,28,54,3.25,194.0,7.842105263157895,56.94558885722439,0.4144295302013423,133.0,66.31403577677173,0.06018518518518518
Cheese,177.63,5.185,3115.6302,50,20.74,2021,9,8,2,3,5,45,8.2,194.0,7.842105263157895,56.94558885722439,1.0456375838926175,450.7142857142857,116.58518894484398,0.1822222222222222
Ghee,611.57,10.9475,24212.056300000004,114,43.79,2019,5,5,6,2,26,88,3.6538461538461537,188.0,6.563383492932056,43.34753878230251,0.5567016094337455,112.0,44.276704131336324,0.04152097902097902
Milk,640.3,4.3425,8631.243999999999,1,17.37,2021,1,18,0,1,1,0,506.0,202.0,29.043478260869566,164.33150316519354,17.422155688622755,223.0,177.43517510271528,506.0
Butter,775.62,5.0625,12029.8662,34,20.25,2020,11,22,6,4,31,3,16.903225806451612,217.0,8.947368421052632,54.71471100437881,1.8891840607210628,194.71428571428572,19.502974393672847,5.634408602150537
Milk,717.69,2.835,9746.2302,29,11.34,2020,11,26,3,4,24,5,7.416666666666667,202.0,29.043478260869566,164.33150316519354,0.2553642714570858,424.7142857142857,122.84842629047019,1.4833333333333334
Ice Cream,868.47,21.37,76121.39550000001,22,85.48,2021,5,21,4,2,22,0,21.636363636363637,177.0,9.125,72.25225364557888,2.3711083437110836,182.71428571428572,94.931255021169,21.636363636363637
Butter,449.63,12.595,24513.8276,34,50.38,2019,8,4,6,3,28,6,1.4285714285714286,217.0,8.947368421052632,54.71471100437881,0.15966386554621848,311.0,73.83495093260214,0.2380952380952381
Cheese,292.97,5.9075,7728.5486,82,23.63,2022,6,23,3,2,33,49,4.0,194.0,7.842105263157895,56.94558885722439,0.5100671140939598,175.71428571428572,17.902378599111444,0.08163265306122448
Lassi,846.38,4.585,14803.186199999998,17,18.34,2020,4,3,4,2,17,0,7.117647058823529,192.0,15.75,49.63685879040302,0.4519140989729225,215.57142857142858,31.953760258846977,7.117647058823529
Yogurt,411.03,22.62,38439.52559999999,25,90.48,2020,2,19,2,1,25,0,15.6,178.0,9.954545454545455,44.4674005868485,1.5671232876712329,273.2857142857143,39.17944504614831,15.6
Yogurt,644.26,6.975,18342.0822,28,27.9,2022,4,13,2,2,28,0,0.14285714285714285,178.0,9.954545454545455,44.4674005868485,0.014350945857795172,159.28571428571428,23.387685266416824,0.14285714285714285
Curd,837.56,17.6475,56057.8908,6,70.59,2021,7,6,1,3,6,0,14.666666666666666,196.0,34.57142857142857,69.91022195694126,0.42424242424242425,315.57142857142856,39.21535920875862,14.666666666666666
Buttermilk,611.84,22.2675,56319.872,10,89.07,2022,1,6,3,1,10,0,27.8,152.0,18.0,48.52413783860662,1.5444444444444445,220.28571428571428,22.264104527925333,27.8
Ice Cream,658.95,8.925,26325.052500000005,21,35.7,2021,6,14,0,2,21,0,15.761904761904763,177.0,9.125,72.25225364557888,1.7273320287018916,203.14285714285714,26.052907676433684,15.761904761904763
Curd,844.94,13.3975,46927.9676,7,53.59,2022,11,25,4,4,6,1,88.66666666666667,196.0,34.57142857142857,69.91022195694126,2.5647382920110195,335.57142857142856,54.82630570341712,88.66666666666667
Cheese,253.73,4.8575,4714.3034,59,19.43,2021,1,26,1,1,31,28,1.5483870967741935,194.0,7.842105263157895,56.94558885722439,0.1974453344879844,128.85714285714286,47.63962483433812,0.05529953917050691
Yogurt,906.38,9.0975,34433.3762,23,36.39,2020,4,1,2,2,23,0,14.695652173913043,178.0,9.954545454545455,44.4674005868485,1.476275560849712,315.14285714285717,23.387685266416824,14.695652173913043
Ghee,911.54,15.9975,55394.2858,112,63.99,2021,4,19,0,2,54,58,9.796296296296296,188.0,6.563383492932056,43.34753878230251,1.4925680187430286,164.28571428571428,70.70925070088025,0.16890166028097062
Curd,170.75,24.225,16200.759999999998,5,96.9,2021,1,13,2,1,3,2,19.666666666666668,196.0,34.57142857142857,69.91022195694126,0.568870523415978,217.85714285714286,44.43556072012025,9.833333333333334
Ice Cream,288.12,17.97,20375.8464,30,71.88,2020,11,4,2,4,30,0,2.1,177.0,9.125,72.25225364557888,0.23013698630136986,263.7142857142857,35.394577275590606,2.1
Ghee,834.79,18.0325,58410.2563,69,72.13,2020,6,28,6,2,18,51,33.166666666666664,188.0,6.563383492932056,43.34753878230251,5.053287942474034,291.2857142857143,11.383149855574802,0.6503267973856208
Ice Cream,351.78,14.22,20033.871,27,56.88,2021,1,17,6,1,27,0,4.2592592592592595,177.0,9.125,72.25225364557888,0.4667681380010147,215.0,26.732437350347993,4.2592592592592595
Buttermilk,177.63,17.53,12581.5329,7,70.12,2020,3,11,2,1,7,0,24.857142857142858,152.0,18.0,48.52413783860662,1.380952380952381,184.71428571428572,35.24982003251589,24.857142857142858
Ice Cream,197.19,10.125,7775.2017,21,40.5,2020,1,4,5,1,21,0,5.333333333333333,177.0,9.125,72.25225364557888,0.5844748858447488,187.28571428571428,26.732437350347993,5.333333333333333
Curd,70.59,9.095,2276.5275,6,36.38,2022,9,12,0,3,6,0,4.0,196.0,34.57142857142857,69.91022195694126,0.11570247933884298,335.85714285714283,37.456094832772834,4.0
Curd,408.78,13.665,21747.096,5,54.66,2021,7,19,0,3,5,0,20.2,196.0,34.57142857142857,69.91022195694126,0.5842975206611571,306.0,39.21535920875862,20.2
Cheese,782.55,5.0,17529.12,48,20.0,2019,9,23,0,3,44,4,4.340909090909091,194.0,7.842105263157895,56.94558885722439,0.5535387431360587,236.28571428571428,116.58518894484398,1.0852272727272727
Cheese,531.48,10.51,23167.2132,61,42.04,2021,2,2,1,1,13,48,26.307692307692307,194.0,7.842105263157895,56.94558885722439,3.35467217346412,158.0,19.956558294996615,0.548076923076923
Butter,626.37,14.3375,38722.1934,32,57.35,2020,9,5,5,3,32,0,1.34375,217.0,8.947368421052632,54.71471100437881,0.15018382352941176,230.42857142857142,47.584352287615175,1.34375
Cheese,724.8,24.885,69037.2,64,99.54,2019,9,24,1,3,15,49,17.333333333333332,194.0,7.842105263157895,56.94558885722439,2.2102908277404922,266.14285714285717,116.58518894484398,0.3537414965986394
Lassi,60.41,12.8975,2819.9388,14,51.59,2019,8,3,5,3,14,0,2.642857142857143,192.0,15.75,49.63685879040302,0.16780045351473924,364.57142857142856,65.14999805968438,2.642857142857143
Milk,306.73,17.1875,20228.843500000003,1,68.75,2019,5,16,3,2,1,0,244.0,202.0,29.043478260869566,164.33150316519354,8.401197604790418,235.85714285714286,130.0079689939997,244.0
Milk,685.59,14.4,42273.4794,2,57.6,2019,2,16,5,1,2,0,60.5,202.0,29.043478260869566,164.33150316519354,2.0830838323353293,274.85714285714283,171.3047644048469,60.5
Yogurt,913.34,23.4325,84776.2188,28,93.73,2021,12,17,4,4,18,10,42.833333333333336,178.0,9.954545454545455,44.4674005868485,4.302891933028919,297.0,32.42941191130222,4.283333333333333
Milk,355.32,16.4825,22861.2888,25,65.93,2020,2,9,6,1,25,0,5.48,202.0,29.043478260869566,164.33150316519354,0.18868263473053892,262.57142857142856,171.3047644048469,5.48
Milk,164.22,10.5325,7412.8908,23,42.13,2019,7,13,5,3,4,19,10.75,202.0,29.043478260869566,164.33150316519354,0.37013473053892215,175.57142857142858,175.07374573385908,0.5657894736842105
Ice Cream,34.25,6.1825,987.77,22,24.73,2019,7,9,1,3,11,11,1.3636363636363635,177.0,9.125,72.25225364557888,0.149439601494396,222.85714285714286,61.64490496018566,0.12396694214876032
Butter,462.49,17.845,30750.9601,38,71.38,2021,1,3,6,1,36,2,3.0555555555555554,217.0,8.947368421052632,54.71471100437881,0.3415032679738562,304.2857142857143,62.264586095764265,1.5277777777777777
Lassi,911.26,14.235,50638.7182,13,56.94,2022,11,13,6,4,13,0,7.153846153846154,192.0,15.75,49.63685879040302,0.4542124542124542,168.14285714285714,99.89887497072651,7.153846153846154
Buttermilk,369.94,22.8775,34541.2978,13,91.51,2019,11,7,3,4,13,0,11.153846153846153,152.0,18.0,48.52413783860662,0.6196581196581197,212.71428571428572,33.407441708270284,11.153846153846153
Curd,31.65,20.2825,2632.014,6,81.13,2021,9,1,2,3,6,0,1.0,196.0,34.57142857142857,69.91022195694126,0.028925619834710745,183.42857142857142,37.456094832772834,1.0
Paneer,208.39,15.5,13918.3681,12,62.0,2021,2,8,0,1,12,0,1.6666666666666667,182.0,18.88888888888889,39.60277158687125,0.08823529411764705,193.0,25.97957563681851,1.6666666666666667
Curd,118.09,17.765,8449.3395,5,71.06,2019,12,24,1,4,5,0,16.4,196.0,34.57142857142857,69.91022195694126,0.47438016528925625,187.42857142857142,61.21557234920363,16.4
Milk,180.57,10.7625,8427.2019,27,43.05,2020,7,7,1,3,16,11,0.25,202.0,29.043478260869566,164.33150316519354,0.008607784431137725,277.14285714285717,175.07374573385908,0.022727272727272728
Buttermilk,269.69,3.86,3217.4017,10,15.44,2021,4,5,0,2,10,0,7.7,152.0,18.0,48.52413783860662,0.42777777777777776,180.14285714285714,25.655739225146082,7.7
Ghee,443.88,8.5675,16601.112,92,34.27,2021,10,6,2,4,8,84,13.875,188.0,6.563383492932056,43.34753878230251,2.114001111612881,339.14285714285717,18.81448534853301,0.16517857142857142
Lassi,989.66,9.675,33668.2332,15,38.7,2019,6,6,3,2,15,0,37.733333333333334,192.0,15.75,49.63685879040302,2.3957671957671955,250.0,23.51479496534756,37.733333333333334
Ghee,895.66,24.3775,84881.6982,100,97.51,2022,5,26,3,2,21,79,19.428571428571427,188.0,6.563383492932056,43.34753878230251,2.9601457006883067,482.7142857142857,44.276704131336324,0.24593128390596744
Ice Cream,212.88,17.035,13815.912,28,68.14,2019,5,14,1,2,19,9,9.210526315789474,177.0,9.125,72.25225364557888,1.0093727469358327,191.0,94.931255021169,1.023391812865497
Buttermilk,102.76,13.3675,5133.8896,13,53.47,2020,4,2,3,2,13,0,4.846153846153846,152.0,18.0,48.52413783860662,0.2692307692307692,199.85714285714286,25.655739225146082,4.846153846153846
Ice Cream,559.48,6.7725,16045.8864,26,27.09,2020,5,13,2,2,26,0,21.423076923076923,177.0,9.125,72.25225364557888,2.3477344573234986,285.42857142857144,94.931255021169,21.423076923076923
Curd,372.64,13.2525,21415.6208,6,53.01,2019,12,13,4,4,6,0,7.666666666666667,196.0,34.57142857142857,69.91022195694126,0.22176308539944906,212.14285714285714,61.21557234920363,7.666666666666667
Milk,903.11,14.6625,49111.1218,2,58.65,2021,8,12,3,3,2,0,41.0,202.0,29.043478260869566,164.33150316519354,1.4116766467065869,290.0,135.05702816027141,41.0
Ice Cream,498.74,3.5175,8448.6556,23,14.07,2020,12,25,4,4,23,0,15.478260869565217,177.0,9.125,72.25225364557888,1.6962477665276952,262.0,113.16620060215111,15.478260869565217
Cheese,340.09,17.2525,23561.4352,42,69.01,2020,8,20,3,3,24,18,13.5,194.0,7.842105263157895,56.94558885722439,1.721476510067114,118.85714285714286,21.326427220515964,0.75
